grid_mode,inverter_mode,grid_profits,inverter_profits,lost_energy_value,battery_wear
fair,fair,627979296.7489449,3456902326.3726315,218409320.58914113,76202.3186375423
fair,yes-man,671079775.1777021,3413801847.9438744,218409320.58914113,75528.86963400918
fair,profit,585145422.2970833,3499736200.8244934,218409320.58914113,76916.39972234996
yes-man,fair,1125237255.5116177,2959644367.6099596,218409320.58914113,65399.546902458926
yes-man,yes-man,1208348028.9884193,2876533594.1331577,218409320.58914113,64234.96837798502
yes-man,profit,1032849810.1575384,3052031812.9640384,218409320.58914113,67005.1357438511
profit,fair,283991743.15132254,3800889879.9702544,218409320.58914113,83357.55598795277
profit,yes-man,287015262.79368097,3797866360.327896,218409320.58914113,83306.77785943443
profit,profit,273912817.734489,3810968805.3870883,218409320.58914113,83546.29815773974
